SSR, lamb, beta, k, delta, p, c, K
1.055744068077948850e+00,1.408228851869469667e-01,7.520312240239623413e-05,2.051850013289414409e+00,5.682857614874610688e+18,1.626118107525945344e+18,7.125230562692350134e+01,5.083252603423840366e+06
6.743303804082925179e-01,2.012409432607496496e-01,2.350891945094543654e-05,1.421920898821727564e+00,3.310651862565158912e+18,2.729035245244453888e+18,5.557635509865919232e+01,1.234562279641094804e+07
9.928862602073799115e-01,1.265178862392358217e-01,2.674420061932172293e-05,2.041738582377828681e+00,2.921048881520291840e+18,3.096159775856294400e+18,8.626985145094386098e+01,4.699351992518432438e+06
1.479267750445628193e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
6.171786981730892876e+04,1.032677879662253936e-35,1.735676659432735304e-35,3.667967568448536331e-01,1.771433680632696431e+57,5.078488625274436586e-21,5.629240471333405761e+44,3.948221512804588138e+24
9.563583265982014137e-01,1.767660518798003788e-01,8.758305370116973665e-05,1.389310136535360618e+00,6.194955976194906112e+18,2.065683035167399680e+18,8.412003778414825206e+01,8.952742511119920760e+06
1.082418772470429946e+00,1.377776974758225803e-01,2.158720175763234830e-05,2.122935143733141850e+00,2.830052070500236288e+18,3.195414216988174848e+18,8.601031975743337910e+01,7.841837679901452735e+06
1.519627288983652402e+00,1.367044373177960237e-01,2.203310395879518963e-05,2.154276815249951404e+00,2.896881985150592000e+18,3.121152019502908928e+18,8.897106712052405442e+01,8.027558908056737855e+06
4.974774842416060210e+02,9.979303005265424686e-02,9.234105959067492689e-08,4.783103127666282067e-02,6.028723349612286444e+20,1.499679773406307000e+16,2.121010099913912927e+04,2.920565494907805696e+06
1.488394259868236702e+00,1.367041135437586652e-01,2.203317237491476442e-05,2.154301326829567209e+00,2.896880011413947392e+18,3.121154146122930176e+18,8.897103441150058245e+01,8.027586532273448072e+06
1.449368932399746956e+00,1.425102111266426663e-01,2.053108345322647357e-05,1.932875853652782361e+00,2.750961564247766528e+18,3.286678001925655040e+18,8.416796233206586919e+01,8.053078969288800843e+06
1.381809992580898871e+00,1.412856281723668117e-01,2.216204753576437938e-05,2.208081973347480798e+00,2.886529165554887168e+18,3.132345745114330112e+18,8.868864592520189660e+01,8.095068431530178525e+06
